Olink ID*	UniProt ID	Protein name	Gene name
OID44408	O15213	WD repeat-containing protein 46	WDR46
OID44409	A4D1P6	WD repeat-containing protein 91	WDR91
OID44410	Q9HC57	WAP four-disulfide core domain protein 1	WFDC1
OID44411	Q8WWY7	WAP four-disulfide core domain protein 12	WFDC12
OID44412	Q96NZ8	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 1	WFIKKN1
OID44413	Q9Y5W5	Wnt inhibitory factor 1	WIF1
OID44414	Q9NZC7	WW domain-containing oxidoreductase	WWOX
OID44415	O00308	NEDD4-like E3 ubiquitin-protein ligase WWP2	WWP2
OID44416	P47992	Lymphotactin	XCL1
OID44418	P54577	Tyrosine--tRNA ligase, cytoplasmic	YARS1
OID44419	P07947	Tyrosine-protein kinase Yes	YES1
OID44420	Q9BW85	Splicing factor YJU2	YJU2
OID44421	Q5VVQ6	Ubiquitin thioesterase OTU1	YOD1
OID44422	Q9H171	Z-DNA-binding protein 1	ZBP1
OID44423	Q13105	Zinc finger and BTB domain-containing protein 17	ZBTB17
OID44424	Q7Z7L7	Protein zer-1 homolog	ZER1
OID44425	Q8WV99	AN1-type zinc finger protein 2B	ZFAND2B
OID44426	Q96K21	Abscission/NoCut checkpoint regulator	ZFYVE19
OID44427	Q9Y6X8	Zinc fingers and homeoboxes protein 2	ZHX2
OID44429	O60232	Protein ZNRD2	ZNRD2
OID44430	P21754	Zona pellucida sperm-binding protein 3	ZP3
OID44431	P56192	Methionine--tRNA ligase, cytoplasmic	MARS1
OID44432	Q9NQ94	APOBEC1 complementation factor	A1CF
OID44433	P45954	Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial	ACADSB
OID44434	P16112	Aggrecan core protein	ACAN
OID44435	P22303	Acetylcholinesterase	ACHE
OID44436	Q15067	Peroxisomal acyl-coenzyme A oxidase 1	ACOX1
OID44437	Q03154	Aminoacylase-1	ACY1
OID44438	P07311	Acylphosphatase-1	ACYP1
OID44439	P78325	Disintegrin and metalloproteinase domain-containing protein 8	ADAM8
OID44440	Q9UP79	A disintegrin and metalloproteinase with thrombospondin motifs 8	ADAMTS8
OID44441	Q6ZMM2	ADAMTS-like protein 5	ADAMTSL5
OID44442	P35611	Alpha-adducin	ADD1
OID44443	P35612	Beta-adducin	ADD2
OID44444	Q6QNK2	Adhesion G-protein coupled receptor D1	ADGRD1
OID44445	Q9UHX3	Adhesion G protein-coupled receptor E2	ADGRE2
OID44446	Q8IZF2	Adhesion G protein-coupled receptor F5	ADGRF5
OID44447	Q8IZP9	Adhesion G-protein coupled receptor G2	ADGRG2
OID44448	P00325	All-trans-retinol dehydrogenase [NAD(+)] ADH1B	ADH1B
OID44449	Q8IUX7	Adipocyte enhancer-binding protein 1	AEBP1
OID44450	Q8N556	Actin filament-associated protein 1	AFAP1
OID44451	Q15109	Advanced glycosylation end product-specific receptor	AGER
OID44452	O00468	Agrin	AGRN
OID44453	P21549	Alanine--glyoxylate aminotransferase	AGXT
OID44454	P23526	Adenosylhomocysteinase	AHCY
OID44455	P00568	Adenylate kinase isoenzyme 1	AK1
OID44456	Q02952	A-kinase anchor protein 12	AKAP12
OID44457	P10696	Alkaline phosphatase, germ cell type	ALPG
OID44458	Q4VCS5	Angiomotin	AMOT
OID44459	Q15389	Angiopoietin-1	ANGPT1
OID44460	O95841	Angiopoietin-related protein 1	ANGPTL1
OID44461	Q9UKU9	Angiopoietin-related protein 2	ANGPTL2
OID44462	Q9BY76	Angiopoietin-related protein 4	ANGPTL4
OID44463	P04083	Annexin A1	ANXA1
OID44464	P12429	Annexin A3	ANXA3
OID44465	P09525	Annexin A4	ANXA4
OID44466	P51693	Amyloid beta precursor like protein 1	APLP1
OID44467	Q0VD83	Apolipoprotein B receptor	APOBR
OID44468	Q8NEU8	DCC-interacting protein 13-beta	APPL2
OID44469	Q92619	Rho GTPase-activating protein 45	ARHGAP45
OID44470	Q9BXN1	Asporin	ASPN
OID44471	O00244	Copper transport protein ATOX1	ATOX1
OID44472	Q9UII2	ATPase inhibitor, mitochondrial	ATP5IF1
OID44473	P15291	Beta-1,4-galactosyltransferase 1	B4GALT1
OID44474	P54687	Branched-chain-amino-acid aminotransferase, cytosolic	BCAT1
OID44475	Q8TD16	Protein bicaudal D homolog 2	BICD2
OID44476	O95393	Bone morphogenetic protein 10	BMP10
OID44477	Q8N8U9	BMP-binding endothelial regulator protein	BMPER
OID44478	Q12982	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	BNIP2
OID44479	P17213	Bactericidal permeability-increasing protein	BPI
OID44480	Q8N4F0	BPI fold-containing family B member 2	BPIFB2
OID44481	O60885	Bromodomain-containing protein 4	BRD4
OID44482	Q10588	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	BST1
OID44483	Q10589	Bone marrow stromal antigen 2	BST2
OID44484	Q7KYR7	Butyrophilin subfamily 2 member A1	BTN2A1
OID44485	Q9BXJ0	Complement C1q tumor necrosis factor-related protein 5	C1QTNF5
OID44486	P0C862	Complement C1q and tumor necrosis factor-related protein 9A	C1QTNF9
OID44487	Q9BSF0	Small membrane A-kinase anchor protein	C2orf88
OID44488	P20851	C4b-binding protein beta chain	C4BPB
OID44489	Q8N1Q1	Carbonic anhydrase 13	CA13
OID44490	Q9HB71	Calcyclin-binding protein	CACYBP
OID44491	Q8WVQ1	Soluble calcium-activated nucleotidase 1	CANT1
OID44492	P27352	Cobalamin binding intrinsic factor	CBLIF
OID44493	Q6UXH8	Collagen and calcium-binding EGF domain-containing protein 1	CCBE1
OID44494	Q76M96	Coiled-coil domain-containing protein 80	CCDC80
OID44495	Q99616	C-C motif chemokine 13	CCL13
OID44496	Q92583	C-C motif chemokine 17	CCL17
OID44497	Q99731	C-C motif chemokine 19	CCL19
OID44498	P13500	C-C motif chemokine 2	CCL2
OID44499	O00585	C-C motif chemokine 21	CCL21
OID44500	O00626	C-C motif chemokine 22	CCL22
OID44501	P55773	C-C motif chemokine 23	CCL23
OID44502	O00175	C-C motif chemokine 24	CCL24
OID44503	Q9Y4X3	C-C motif chemokine 27	CCL27
OID44504	P13236	C-C motif chemokine 4	CCL4
OID44505	P29279	CCN family member 2	CCN2
OID44506	P29017	T-cell surface glycoprotein CD1c	CD1C
OID44507	P26842	CD27 antigen	CD27
OID44508	Q5ZPR3	CD276 antigen	CD276
OID44509	Q9Y5K6	CD2-associated protein	CD2AP
OID44510	Q9UGN4	CMRF35-like molecule 8	CD300A
OID44511	Q08708	CMRF35-like molecule 6	CD300C
OID44512	P20138	Myeloid cell surface antigen CD33	CD33
OID44513	P28906	Hematopoietic progenitor cell antigen CD34	CD34
OID44514	P25942	Tumor necrosis factor receptor superfamily member 5	CD40
OID44515	P09326	CD48 antigen	CD48
OID44516	P19256	Lymphocyte function-associated antigen 3	CD58
OID44517	Q07108	Early activation antigen CD69	CD69
OID44518	P21854	B-cell differentiation antigen CD72	CD72
OID44519	P04233	HLA class II histocompatibility antigen gamma chain	CD74
OID44520	P33681	T-lymphocyte activation antigen CD80	CD80
OID44521	P01732	T-cell surface glycoprotein CD8 alpha chain	CD8A
OID44522	P32320	Cytidine deaminase	CDA
OID44523	Q16543	Hsp90 co-chaperone Cdc37	CDC37
OID44524	P55291	Cadherin-15	CDH15
OID44525	Q12864	Cadherin-17	CDH17
OID44526	P19022	Cadherin-2	CDH2
OID44527	P22223	Cadherin-3	CDH3
OID44528	P55285	Cadherin-6	CDH6
OID44529	Q9HBB8	Cadherin-related family member 5	CDHR5
OID44530	Q4KMG0	Cell adhesion molecule-related/down-regulated by oncogenes	CDON
OID44531	Q9UKY7	Protein CDV3 homolog	CDV3
OID44532	P13688	Carcinoembryonic antigen-related cell adhesion molecule 1	CEACAM1
OID44533	Q9HCU4	Cadherin EGF LAG seven-pass G-type receptor 2	CELSR2
OID44534	Q9UPN4	Centrosomal protein of 131 kDa	CEP131
OID44535	Q99674	Cell growth regulator with EF hand domain protein 1	CGREF1
OID44536	O15335	Chondroadherin	CHAD
OID44537	P05060	Secretogranin-1	CHGB
OID44538	Q96FZ7	Charged multivesicular body protein 6	CHMP6
OID44539	Q9BU40	Chordin-like protein 1	CHRDL1
OID44540	Q6WN34	Chordin-like protein 2	CHRDL2
OID44541	Q6FI81	Anamorsin	CIAPIN1
OID44542	Q14008	Cytoskeleton-associated protein 5	CKAP5
OID44543	P12532	Creatine kinase U-type, mitochondrial	CKMT1A_CKMT1B
OID44544	Q05315	Galectin-10	CLC
OID44545	Q9P126	C-type lectin domain family 1 member B	CLEC1B
OID44546	Q9NY25	C-type lectin domain family 5 member A	CLEC5A
OID44547	P09497	Clathrin light chain B	CLTB
OID44548	Q15846	Clusterin-like protein 1	CLUL1
OID44549	Q7Z7K0	COX assembly mitochondrial protein homolog	CMC1
OID44550	Q99439	Calponin-2	CNN2
OID44551	Q6PJW8	Consortin	CNST
OID44552	O94779	Contactin-5	CNTN5
OID44553	O43405	Cochlin	COCH
OID44554	P02462	Collagen alpha-1(IV) chain	COL4A1
OID44555	P20908	Collagen alpha-1(V) chain	COL5A1
OID44556	Q5KU26	Collectin-12	COLEC12
OID44557	Q86X83	COMM domain-containing protein 2	COMMD2
OID44558	P14854	Cytochrome c oxidase subunit 6B1	COX6B1
OID44559	P48052	Carboxypeptidase A2	CPA2
OID44560	Q9UI42	Carboxypeptidase A4	CPA4
OID44561	P14384	Carboxypeptidase M	CPM
OID44562	Q9BRF8	Serine/threonine-protein phosphatase CPPED1	CPPED1
OID44563	Q96SM3	Probable carboxypeptidase X1	CPXM1
OID44564	Q8N436	Inactive carboxypeptidase-like protein X2	CPXM2
OID44565	Q5IJ48	Protein crumbs homolog 2	CRB2
OID44566	O75629	Protein CREG1	CREG1
OID44567	Q96HD1	Protein disulfide isomerase CRELD1	CRELD1
OID44568	Q6UXH1	Protein disulfide isomerase CRELD2	CRELD2
OID44569	P24387	Corticotropin-releasing factor-binding protein	CRHBP
OID44570	Q9NZV1	Cysteine-rich motor neuron 1 protein	CRIM1
OID44571	P46109	Crk-like protein	CRKL
OID44572	O75462	Cytokine receptor-like factor 1	CRLF1
OID44573	P53674	Beta-crystallin B1	CRYBB1
OID44574	P09603	Macrophage colony-stimulating factor 1	CSF1
OID44575	P01037	Cystatin-SN	CST1
OID44576	O76096	Cystatin-F	CST7
OID44577	Q99895	Chymotrypsin-C	CTRC
OID44578	P53634	Dipeptidyl peptidase 1	CTSC
OID44579	P14091	Cathepsin E	CTSE
OID44580	Q9UBX1	Cathepsin F	CTSF
OID44581	P07711	Procathepsin L	CTSL
OID44582	P25774	Cathepsin S	CTSS
OID44583	P09341	Growth-regulated alpha protein	CXCL1
OID44584	P02778	C-X-C motif chemokine 10	CXCL10
OID44585	O14625	C-X-C motif chemokine 11	CXCL11
OID44586	O43927	C-X-C motif chemokine 13	CXCL13
OID44587	P42830	C-X-C motif chemokine 5	CXCL5
OID44588	P80162	C-X-C motif chemokine 6	CXCL6
OID44589	Q07325	C-X-C motif chemokine 9	CXCL9
OID44590	Q9Y4D1	Disheveled-associated activator of morphogenesis 1	DAAM1
OID44591	Q14118	Dystroglycan 1	DAG1
OID44592	P51397	Death-associated protein 1	DAP
OID44593	Q9UJU6	Drebrin-like protein	DBNL
OID44594	Q96PD2	Discoidin, CUB and LCCL domain-containing protein 2	DCBLD2
OID44595	P32321	Deoxycytidylate deaminase	DCTD
OID44596	Q9H773	dCTP pyrophosphatase 1	DCTPP1
OID44597	Q7Z4W1	L-xylulose reductase	DCXR
OID44598	P20711	Aromatic-L-amino-acid decarboxylase	DDC
OID44599	Q5TDH0	Protein DDI1 homolog 2	DDI2
OID44600	Q08345	Epithelial discoidin domain-containing receptor 1	DDR1
OID44601	Q9NTK1	Protein DEPP1	DEPP1
OID44602	Q9NR28	Diablo IAP-binding mitochondrial protein	DIABLO
OID44603	Q9H7Y0	Divergent protein kinase domain 2B	DIPK2B
OID44604	O94907	Dickkopf-related protein 1	DKK1
OID44605	O00548	Delta-like protein 1	DLL1
OID44606	P25686	DnaJ homolog subfamily B member 2	DNAJB2
OID44608	Q99615	DnaJ homolog subfamily C member 7	DNAJC7
OID44609	Q8NFT8	Delta and Notch-like epidermal growth factor-related receptor	DNER
OID44610	O43598	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	DNPH1
OID44611	O60496	Docking protein 2	DOK2
OID44612	Q9UHL4	Dipeptidyl peptidase 2	DPP7
OID44613	Q8TEA8	D-aminoacyl-tRNA deacylase 1	DTD1
OID44614	P23919	Thymidylate kinase	DTYMK
OID44615	Q96DC8	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	ECHDC3
OID44616	P29692	Elongation factor 1-delta	EEF1D
OID44617	O95967	EGF-containing fibulin-like extracellular matrix protein 2	EFEMP2
OID44618	P01133	Pro-epidermal growth factor	EGF
OID44619	Q8IUX8	Epidermal growth factor-like protein 6	EGFL6
OID44620	Q8NDI1	EH domain-binding protein 1	EHBP1
OID44621	Q13541	Eukaryotic translation initiation factor 4E-binding protein 1	EIF4EBP1
OID44622	P15502	Elastin	ELN
OID44623	Q15006	ER membrane protein complex subunit 2	EMC2
OID44624	P06733	Alpha-enolase	ENO1
OID44625	P09104	Gamma-enolase	ENO2
OID44626	P22413	Ectonucleotide pyrophosphatase/phosphodiesterase family member 1	ENPP1
OID44627	Q9UJA9	Ectonucleotide pyrophosphatase/phosphodiesterase family member 5	ENPP5
OID44628	Q6UWV6	Ectonucleotide pyrophosphatase/phosphodiesterase family member 7	ENPP7
OID44629	P16422	Epithelial cell adhesion molecule	EPCAM
OID44630	Q9UM22	Mammalian ependymin-related protein 1	EPDR1
OID44631	P21709	Ephrin type-A receptor 1	EPHA1
OID44632	P54764	Ephrin type-A receptor 4	EPHA4
OID44633	P04626	Receptor tyrosine-protein kinase erbB-2	ERBB2
OID44634	P21860	Receptor tyrosine-protein kinase erbB-3	ERBB3
OID44635	Q15303	Receptor tyrosine-protein kinase erbB-4	ERBB4
OID44636	P30040	Endoplasmic reticulum resident protein 29	ERP29
OID44637	Q9NQ30	Endothelial cell-specific molecule 1	ESM1
OID44638	Q9BSJ8	Extended synaptotagmin-1	ESYT1
OID44639	P15311	Ezrin	EZR
OID44640	P25116	Proteinase-activated receptor 1	F2R
OID44641	P07148	Fatty acid-binding protein, liver	FABP1
OID44642	P12104	Fatty acid-binding protein, intestinal	FABP2
OID44643	P05413	Fatty acid-binding protein, heart	FABP3
OID44644	Q01469	Fatty acid-binding protein 5	FABP5
OID44645	Q13158	FAS-associated death domain protein	FADD
OID44646	Q96MK3	Pseudokinase FAM20A	FAM20A
OID44647	Q92520	Protein FAM3C	FAM3C
OID44648	Q53RD9	Fibulin-7	FBLN7
OID44649	P09467	Fructose-1,6-bisphosphatase 1	FBP1
OID44650	Q8WWV6	High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor	FCAMR
OID44651	Q96LA6	Fc receptor-like protein 1	FCRL1
OID44652	O95750	Fibroblast growth factor 19	FGF19
OID44653	Q14512	Fibroblast growth factor-binding protein 1	FGFBP1
OID44654	P21802	Fibroblast growth factor receptor 2	FGFR2
OID44655	P22455	Fibroblast growth factor receptor 4	FGFR4
OID44656	Q9Y3D6	Mitochondrial fission 1 protein	FIS1
OID44657	P35916	Vascular endothelial growth factor receptor 3	FLT4
OID44658	Q96RU3	Formin-binding protein 1	FNBP1
OID44659	P15328	Folate receptor alpha	FOLR1
OID44660	P14207	Folate receptor beta	FOLR2
OID44661	P41439	Folate receptor gamma	FOLR3
OID44662	P19883	Follistatin	FST
OID44663	O95633	Follistatin-related protein 3	FSTL3
OID44664	Q9C0B1	Alpha-ketoglutarate-dependent dioxygenase FTO	FTO
OID44665	A2VDF0	Fucose mutarotase	FUOM
OID44666	P09958	Furin	FURIN
OID44667	P21217_Q11128	3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase FUT3_4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT5	FUT3_FUT5
OID44668	P22466	Galanin peptides	GAL
OID44669	Q96C23	Galactose mutarotase	GALM
OID44670	Q7Z7M9	Polypeptide N-acetylgalactosaminyltransferase 5	GALNT5
OID44671	P04406	Glyceraldehyde-3-phosphate dehydrogenase	GAPDH
OID44672	Q99501	GAS2-like protein 1	GAS2L1
OID44673	P32455	Guanylate-binding protein 1	GBP1
OID44674	P30047	GTP cyclohydrolase 1 feedback regulatory protein	GCHFR
OID44675	Q9UK05	Growth/differentiation factor 2	GDF2
OID44676	O43681	ATPase GET3	GET3
OID44677	Q9BVM4	Gamma-glutamylaminecyclotransferase	GGACT
OID44678	O75223	Gamma-glutamylcyclotransferase	GGCT
OID44679	P01241	Somatotropin	GH1
OID44680	P10912	Growth hormone receptor	GHR
OID44681	Q9UBU3	Appetite-regulating hormone	GHRL
OID44682	Q8NHV1	GTPase IMAP family member 7	GIMAP7
OID44684	Q9HC38	Glyoxalase domain-containing protein 4	GLOD4
OID44685	P35754	Glutaredoxin-1	GLRX
OID44686	Q86SX6	Glutaredoxin-related protein 5, mitochondrial	GLRX5
OID44687	O60234	Glia maturation factor gamma	GMFG
OID44688	Q9P2T1	GMP reductase 2	GMPR2
OID44689	Q8TDQ7	Glucosamine-6-phosphate isomerase 2	GNPDA2
OID44690	Q6P4E1	Protein GOLM2	GOLM2
OID44691	P40197	Platelet glycoprotein V	GP5
OID44692	Q14956	Transmembrane glycoprotein NMB	GPNMB
OID44693	P07203	Glutathione peroxidase 1	GPX1
OID44694	O75791	GRB2-related adapter protein 2	GRAP2
OID44695	Q9UBQ7	Glyoxylate reductase/hydroxypyruvate reductase	GRHPR
OID44696	P08263	Glutathione S-transferase A1	GSTA1
OID44697	P46952	3-hydroxyanthranilate 3,4-dioxygenase	HAAO
OID44698	P02008	Hemoglobin subunit zeta	HBZ
OID44699	Q9ULI3	Protein HEG homolog 1	HEG1
OID44700	Q9BQS7	Hephaestin	HEPH
OID44702	Q8NDA2	Hemicentin-2	HMCN2
OID44703	P09601	Heme oxygenase 1	HMOX1
OID44704	Q9NSB8	Homer protein homolog 2	HOMER2
OID44705	P0DMV8	Heat shock 70 kDa protein 1A	HSPA1A
OID44706	O43464	Serine protease HTRA2, mitochondrial	HTRA2
OID44707	Q2TAA2	Isoamyl acetate-hydrolyzing esterase 1 homolog	IAH1
OID44708	Q9UMF0	Intercellular adhesion molecule 5	ICAM5
OID44709	P15260	Interferon gamma receptor 1	IFNGR1
OID44710	Q8WX77	Insulin-like growth factor-binding protein-like 1	IGFBPL1
OID44711	Q6UXB1	Insulin growth factor-like family member 3	IGFL3
OID44712	Q969P0	Immunoglobulin superfamily member 8	IGSF8
OID44713	Q9P2J2	Protein turtle homolog A	IGSF9
OID44714	Q08334	Interleukin-10 receptor subunit beta	IL10RB
OID44715	P78552	Interleukin-13 receptor subunit alpha-1	IL13RA1
OID44716	Q14116	Interleukin-18	IL18
OID44717	Q9UHD0	Interleukin-19	IL19
OID44718	P27930	Interleukin-1 receptor type 2	IL1R2
OID44719	P18510	Interleukin-1 receptor antagonist protein	IL1RN
OID44720	P40189	Interleukin-6 receptor subunit beta	IL6ST
OID44721	P09529	Inhibin beta B chain	INHBB
OID44722	P01308	Insulin C-peptide	INS-CPEPTIDE
OID44723	Q14653	Interferon regulatory factor 3	IRF3
OID44724	P18084	Integrin beta-5	ITGB5
OID44725	P57087	Junctional adhesion molecule B	JAM2
OID44726	Q9BX67	Junctional adhesion molecule C	JAM3
OID44727	P35968	Vascular endothelial growth factor receptor 2	KDR
OID44728	P21583	Kit ligand	KITLG
OID44729	P06870	Kallikrein-1	KLK1
OID44730	O43240	Kallikrein-10	KLK10
OID44731	Q9UBX7	Kallikrein-11	KLK11
OID44732	Q92876	Kallikrein-6	KLK6
OID44733	P49862	Kallikrein-7	KLK7
OID44734	O60259	Kallikrein-8	KLK8
OID44735	Q16773	Kynurenine--oxoglutarate transaminase 1	KYAT1
OID44736	P32004	Neural cell adhesion molecule L1	L1CAM
OID44737	Q96EM0	Trans-3-hydroxy-L-proline dehydratase	L3HYPDH
OID44738	Q53H82	Endoribonuclease LACTB2	LACTB2
OID44739	Q6GTX8	Leukocyte-associated immunoglobulin-like receptor 1	LAIR1
OID44740	Q16363	Laminin subunit alpha-4	LAMA4
OID44741	P13473	Lysosome-associated membrane glycoprotein 2	LAMP2
OID44742	Q14739	Delta(14)-sterol reductase LBR	LBR
OID44743	Q13094	Lymphocyte cytosolic protein 2	LCP2
OID44744	O14960	Leukocyte cell-derived chemotaxin-2	LECT2
OID44745	Q6P5S2	Protein LEG1 homolog	LEG1
OID44746	P41159	Leptin	LEP
OID44747	P48357	Leptin receptor	LEPR
OID44748	P09382	Galectin-1	LGALS1
OID44749	P56470	Galectin-4	LGALS4
OID44750	O00214	Galectin-8	LGALS8
OID44751	O00182	Galectin-9	LGALS9
OID44752	Q99538	Legumain	LGMN
OID44753	Q9H008	Phospholysine phosphohistidine inorganic pyrophosphate phosphatase	LHPP
OID44754	A6NI73	Leukocyte immunoglobulin-like receptor subfamily A member 5	LILRA5
OID44755	Q6PI73	Leukocyte immunoglobulin-like receptor subfamily A member 6	LILRA6
OID44756	P06858	Lipoprotein lipase	LPL
OID44757	Q86VZ4	Low-density lipoprotein receptor-related protein 11	LRP11
OID44758	P30533	Alpha-2-macroglobulin receptor-associated protein	LRPAP1
OID44760	P36941	Tumor necrosis factor receptor superfamily member 3	LTBR
OID44761	Q14210	Lymphocyte antigen 6D	LY6D
OID44762	O95274	Ly6/PLAUR domain-containing protein 3	LYPD3
OID44763	Q9NQ48	Leucine zipper transcription factor-like protein 1	LZTFL1
OID44764	Q7Z304	MAM domain-containing protein 2	MAMDC2
OID44765	Q9Y2E5	Epididymis-specific alpha-mannosidase	MAN2B2
OID44766	P55145	Mesencephalic astrocyte-derived neurotrophic factor	MANF
OID44767	Q9H8J5	MANSC domain-containing protein 1	MANSC1
OID44768	Q02750	Dual specificity mitogen-activated protein kinase kinase 1	MAP2K1
OID44769	Q9UEW3	Macrophage receptor MARCO	MARCO
OID44770	O00339	Matrilin-2	MATN2
OID44771	Q8NI22	Multiple coagulation factor deficiency protein 2	MCFD2
OID44772	P21741	Midkine	MDK
OID44773	Q96KG7	Multiple epidermal growth factor-like domains protein 10	MEGF10
OID44774	P08582	Melanotransferrin	MELTF
OID44775	Q9BUN1	Protein MENT	MENT
OID44776	Q16820	Meprin A subunit beta	MEP1B
OID44777	Q9NQ76	Matrix extracellular phosphoglycoprotein	MEPE
OID44778	Q12866	Tyrosine-protein kinase Mer	MERTK
OID44779	P55083	Microfibril-associated glycoprotein 4	MFAP4
OID44780	Q10469	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT2
OID44781	Q99685	Monoglyceride lipase	MGLL
OID44782	Q16674	Melanoma-derived growth regulatory protein	MIA
OID44783	P03956	Interstitial collagenase	MMP1
OID44784	P09238	Stromelysin-2	MMP10
OID44785	P51511	Matrix metalloproteinase-15	MMP15
OID44786	P09237	Matrilysin	MMP7
OID44787	P22894	Neutrophil collagenase	MMP8
OID44788	Q9H8L6	Multimerin-2	MMRN2
OID44789	P41218	Myeloid cell nuclear differentiation antigen	MNDA
OID44790	O96007	Molybdopterin synthase catalytic subunit	MOCS2
OID44791	O95866	Megakaryocyte and platelet inhibitory receptor G6b	MPIG6B
OID44792	Q1L6U9	Prostate-associated microseminoprotein	MSMP
OID44793	P21757	Macrophage scavenger receptor types I and II	MSR1
OID44794	Q9UJ68	Mitochondrial peptide methionine sulfoxide reductase	MSRA
OID44796	Q00872	Myosin-binding protein C, slow-type	MYBPC1
OID44797	Q969H8	Myeloid-derived growth factor	MYDGF
OID44798	Q5VTT5	Myomesin-3	MYOM3
OID44799	Q8WU39	Marginal zone B- and B1-cell-specific protein	MZB1
OID44800	O95544	NAD kinase	NADK
OID44801	Q9UK23	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	NAGPA
OID44802	P41271	Neuroblastoma suppressor of tumorigenicity 1	NBL1
OID44803	O14594	Neurocan core protein	NCAN
OID44804	O43639	Cytoplasmic protein NCK2	NCK2
OID44805	Q92692	Nectin-2	NECTIN2
OID44806	Q96NY8	Nectin-4	NECTIN4
OID44807	Q92832	Protein kinase C-binding protein NELL1	NELL1
OID44808	Q99435	Protein kinase C-binding protein NELL2	NELL2
OID44809	Q15653	NF-kappa-B inhibitor beta	NFKBIB
OID44810	P08138	Tumor necrosis factor receptor superfamily member 16	NGFR
OID44811	Q5JS37	NHL repeat-containing protein 3	NHLRC3
OID44812	Q9NQR4	Omega-amidase NIT2	NIT2
OID44813	Q13232	Nucleoside diphosphate kinase 3	NME3
OID44814	O60936	Nucleolar protein 3	NOL3
OID44815	Q9NQX5	Neural proliferation differentiation and control protein 1	NPDC1
OID44816	Q9BXD5	N-acetylneuraminate lyase	NPL
OID44817	O95502	Neuronal pentraxin receptor	NPTXR
OID44818	Q92823	Neuronal cell adhesion molecule	NRCAM
OID44819	Q9UNZ2	NSFL1 cofactor p47	NSFL1C
OID44821	P21589	5'-nucleotidase	NT5E
OID44822	NT-proBNP	N-terminal prohormone of brain natriuretic peptide	NT-proBNP
OID44823	Q16620	BDNF/NT-3 growth factors receptor	NTRK2
OID44824	Q16288	NT-3 growth factor receptor	NTRK3
OID44825	Q6UX06	Olfactomedin-4	OLFM4
OID44826	P78380	Oxidized low-density lipoprotein receptor 1	OLR1
OID44827	Q99983	Osteomodulin	OMD
OID44828	Q8IYS5	Osteoclast-associated immunoglobulin-like receptor	OSCAR
OID44829	P01178	Oxytocin-neurophysin 1	OXT
OID44830	P07237	Protein disulfide-isomerase	P4HB
OID44831	Q9BUH6	Protein PAXX	PAXX
OID44832	P61457	Pterin-4-alpha-carbinolamine dehydratase	PCBD1
OID44834	O14917	Protocadherin-17	PCDH17
OID44835	Q13442	28 kDa heat- and acid-stable phosphoprotein	PDAP1
OID44836	O14737	Programmed cell death protein 5	PDCD5
OID44837	O75340	Programmed cell death protein 6	PDCD6
OID44838	O76074	cGMP-specific 3',5'-cyclic phosphodiesterase	PDE5A
OID44839	P01127	Platelet-derived growth factor subunit B	PDGFB
OID44840	Q9GZP0	Platelet-derived growth factor D	PDGFD
OID44841	P16234	Platelet-derived growth factor receptor alpha	PDGFRA
OID44842	P30101	Protein disulfide-isomerase A3	PDIA3
OID44843	Q9NR12	PDZ and LIM domain protein 7	PDLIM7
OID44844	P01210	Proenkephalin-A	PENK
OID44845	P52209	6-phosphogluconate dehydrogenase, decarboxylating	PGD
OID44846	Q8IUZ5	5-phosphohydroxy-L-lysine phospho-lyase	PHYKPL
OID44847	Q9UKJ0	Paired immunoglobulin-like type 2 receptor beta	PILRB
OID44848	A6NC86	phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein	PINLYP
OID44849	P98161	Polycystin-1	PKD1
OID44850	P30613	Pyruvate kinase PKLR	PKLR
OID44851	Q9BZM1	Group XIIA secretory phospholipase A2	PLA2G12A
OID44852	Q8NCC3	Phospholipase A2 group XV	PLA2G15
OID44853	P47712	Cytosolic phospholipase A2	PLA2G4A
OID44854	Q03405	Urokinase plasminogen activator surface receptor	PLAUR
OID44855	O60664	Perilipin-3	PLIN3
OID44856	O94903	Pyridoxal phosphate homeostasis protein	PLPBP
OID44857	Q9ULL4	Plexin-B3	PLXNB3
OID44858	Q6GTS8	N-fatty-acyl-amino acid synthase/hydrolase PM20D1	PM20D1
OID44859	P54317	Pancreatic lipase-related protein 2	PNLIPRP2
OID44860	P00491	Purine nucleoside phosphorylase	PNP
OID44861	Q9NZ53	Podocalyxin-like protein 2	PODXL2
OID44862	Q15166	Serum paraoxonase/lactonase 3	PON3
OID44863	Q96CD2	Phosphopantothenoylcysteine decarboxylase	PPCDC
